role,company,years_of_exp,city,country,gender,currency,salary,mode,period,compensation,verified
Senior Software Engineer,Purchase to unlock 👆,3,Jakarta Selatan,ID,Prefer not to tell,IDR,33000000,Net,Monthly,,
Data Engineer,Purchase to unlock 👆,3,Jakarta,ID,Prefer not to tell,IDR,18000000,Gross,Monthly,"Private Insurance, Tax Benefit",
Data Engineer,Purchase to unlock 👆,3,Jakarta,ID,Male,IDR,18000000,Gross,Monthly,"Private Insurance, Tax Benefit",
Senior DevOps Engineer - Previously SystemEnginner and Lecturer,Purchase to unlock 👆,13,Jakarta,ID,Prefer not to tell,IDR,38000000,Net,Monthly,Medical Insurance,
Merchandiser,Purchase to unlock 👆,7,Yogyakarta,ID,Prefer not to tell,IDR,10500000,Gross,Monthly,,
Assistant Manager,Purchase to unlock 👆,6,Jakarta,ID,Male,IDR,25989590,Gross,Monthly,,
Strategic Project Manager,Purchase to unlock 👆,5,Jakarta,ID,Male,IDR,36700000,Gross,Monthly,RSU twice a year,
Product Designer,Purchase to unlock 👆,4,Jakarta,ID,Prefer not to tell,IDR,16400000,Net,Monthly,,
Associate Product Manager,Purchase to unlock 👆,0,Jakarta,ID,Male,IDR,9500000,Net,Monthly,"Stock Options, Private Insurance, laptop Ownership, Smartphone Ownership program, Unlimited leaves if there's covid or any danger medical situation, special leaves for family events",
Tech Lead,Purchase to unlock 👆,11,Yogyakarta,ID,Male,IDR,39000000,Net,Monthly,,
Data Analyst,Traveloka,5,Tangerang,ID,Male,IDR,23000000,Net,Monthly,,
QA Engineer,Purchase to unlock 👆,6,Bandung,ID,Female,IDR,15450000,Gross,Monthly,20 days annual leave,
Product Designer,Purchase to unlock 👆,1,Jakarta,ID,Male,IDR,8500000,Net,Monthly,,
BD Manager,Gojek,3,Jakarta,ID,Prefer not to tell,IDR,35000000,Net,Monthly,,
Business analyst,Gojek,1,Jakarta,ID,Female,IDR,8500000,Gross,Monthly,,
Operations Supervisor,Gojek,3,Satellite City,ID,Male,IDR,9600000,Gross,Monthly,,
Management Trainee,Purchase to unlock 👆,2,Jakarta,ID,Male,IDR,7725000,Net,Monthly,None,
Social Media Specialist,Purchase to unlock 👆,5,Jakarta,ID,Female,IDR,7000000,Net,Monthly,"BPJS, Medical, training, performance bonus, THR, lumsum",
Quality Assurance,Purchase to unlock 👆,3,Bandung,ID,Prefer not to tell,IDR,11000000,Gross,Monthly,,
Corporate Communications,Purchase to unlock 👆,4,Jakarta,ID,Male,IDR,10000000,Net,Monthly,,
SAP Consultant,Purchase to unlock 👆,3,Jakarta,ID,Female,IDR,12000000,Net,Monthly,"Transport allowance, 13th salary, yearly fixed bonus, performance bonus, medical insurance, maternity and glasses reimbursement, ESPP, parking reimbursement.",
Project Manager,Purchase to unlock 👆,0,Jakarta,ID,Female,IDR,5000000,Net,Monthly,,
Facility Engineer,Purchase to unlock 👆,7,Duri,ID,Male,IDR,36000000,Gross,Monthly,,
Data Support Supervisor,Purchase to unlock 👆,3,Jakarta,ID,Female,IDR,9000000,Gross,Monthly,,
Partnership Specialist,Purchase to unlock 👆,6,Tangerang,ID,Male,IDR,15000000,Gross,Monthly,Meals,
Project Manager,Gojek,7,Jakarta,ID,Male,IDR,24000000,Net,Monthly,Communication + Transportation Compensation,
mobile developer,Purchase to unlock 👆,1,jakarta,ID,Prefer not to tell,IDR,6,Gross,Monthly,,
Graphic Designer,Purchase to unlock 👆,4,Jakarta,ID,Male,IDR,9000000,Net,Monthly,,
Digital Marketing Analyst,Traveloka,3,Jakarta,ID,Prefer not to tell,IDR,13000000,Net,Monthly,,
Data Engineer,Purchase to unlock 👆,3,Jakarta,ID,Male,IDR,18000000,Gross,Monthly,"Tax Benefit, Private Health Insurance",
Android Developer,Purchase to unlock 👆,5,Semarang,ID,Prefer not to tell,IDR,18500000,Net,Monthly,,
Product marketing manager,Gojek,6,Jakarta,ID,Prefer not to tell,IDR,25000000,Gross,Monthly,,
Community Officer,Purchase to unlock 👆,2,Yogyakarta,ID,Prefer not to tell,IDR,3000000,Gross,Monthly,Private Insurance,
UI Designer,Purchase to unlock 👆,3,Malang,ID,Prefer not to tell,IDR,3550000,Net,Monthly,,
Partnership,Gojek,1,Jakarta,ID,Male,IDR,9000000,Gross,Monthly,,
Business Intelligence Analyst,Purchase to unlock 👆,3,Jakarta,IQ,Male,IDR,14500000,Gross,Monthly,,
UX Writer,Purchase to unlock 👆,2,Jakarta,ID,Prefer not to tell,IDR,12000000,Net,Monthly,8000000,
